Q9 v2.3 - Lista de propostas/votacoes

Q9 v2.3 - Propostas disponiveis
ano  | id_votacao  | proposicao                                             | sim | nao | outros | total
2025 | 2306513-113 | REQ 1213/2023                                          | 214 | 204 | 2      | 420  
2025 | 2157806-168 | REQ 3074/2019                                          | 325 | 94  | 1      | 420  
2025 | 2576234-41  | EMP 1 => PLP 204/2025                                  | 387 | 30  | 2      | 419  
2025 | 2489217-10  | REQ 1092/2025                                          | 376 | 42  | 1      | 419  
2025 | 2485066-28  | REQ 645/2025                                           | 46  | 372 | 1      | 419  
2025 | 2471177-46  | REQ 2042/2025                                          | 102 | 316 | 1      | 419  
2025 | 2122682-94  | REQ 7697/2017 => PEC 302/2017                          | 414 | 3   | 2      | 419  
2025 | 2554285-51  | REQ 4016/2025                                          | 293 | 120 | 5      | 418  
2025 | 545304-112  | RPD 1 => PL 3899/2012                                  | 137 | 279 | 1      | 417  
2025 | 2557801-10  | REQ 3746/2025                                          | 382 | 33  | 2      | 417  
2025 | 2498090-47  | PLV 3/2025                                             | 16  | 399 | 2      | 417  
2025 | 2432423-74  | REQ 4624/2024                                          | 134 | 282 | 1      | 417  
2025 | 2422905-68  | REQ 5289/2025                                          | 412 | 4   | 1      | 417  
2025 | 2121642-105 | REQ 702/2019 => PL 6749/2016                           | 310 | 105 | 2      | 417  
2025 | 2580122-8   | REQ 4634/2025                                          | 386 | 26  | 4      | 416  
2025 | 2471177-111 | REQ 2042/2025                                          | 298 | 117 | 1      | 416  
2025 | 2386051-80  | REQ 3108/2023                                          | 120 | 295 | 1      | 416  
2025 | 2252295-120 | REQ 1056/2020                                          | 352 | 63  | 1      | 416  
2025 | 2583574-8   | REQ 4773/2025                                          | 300 | 114 | 1      | 415  
2025 | 2579999-8   | REQ 4626/2025                                          | 236 | 178 | 1      | 415  
2025 | 2481858-53  | REQ 3547/2025                                          | 411 | 3   | 1      | 415  
2025 | 2480979-91  | REQ 4974/2024                                          | 7   | 407 | 1      | 415  
2025 | 2463814-46  | RPD 1 => MPV 1268/2024                                 | 317 | 92  | 6      | 415  
2025 | 2370495-47  | REQ 2111/2023                                          | 119 | 295 | 1      | 415  
2025 | 2579996-8   | REQ 4625/2025                                          | 295 | 118 | 1      | 414  
2025 | 2558444-7   | REQ 3754/2025                                          | 329 | 84  | 1      | 414  
2025 | 2545773-8   | (sem proposicao vinculada)                             | 288 | 125 | 1      | 414  
2025 | 2538979-10  | (sem proposicao vinculada)                             | 284 | 129 | 1      | 414  
2025 | 2503426-44  | REQ 3751/2025                                          | 104 | 309 | 1      | 414  
2025 | 2486199-32  | REQ 844/2025                                           | 413 | 1   |        | 414  
2025 | 2448069-50  | REQ 4267/2025                                          | 295 | 118 | 1      | 414  
2025 | 2397890-55  | REQ 1496/2024                                          | 407 | 6   | 1      | 414  
2025 | 2564274-29  | REQ 4037/2025                                          | 125 | 287 | 1      | 413  
2025 | 2497993-30  | PRLP 1 => PL 1708/2025                                 | 128 | 284 | 1      | 413  
2025 | 2486199-35  | REQ 844/2025                                           | 386 | 27  |        | 413  
2025 | 2438459-148 | REQ 2262/2024                                          | 408 | 3   | 2      | 413  
2025 | 2421211-73  | REQ 1292/2025                                          | 174 | 237 | 2      | 413  
2025 | 2157806-131 | REQ 3074/2019                                          | 308 | 103 | 2      | 413  
2025 | 2121642-102 | REQ 702/2019 => PL 6749/2016                           | 319 | 93  | 1      | 413  
2025 | 545304-154  | RPD 1 => PL 3899/2012                                  | 173 | 238 | 1      | 412  
2025 | 264726-148  | REQ 3515/2015 => PL 4149/2004                          | 256 | 153 | 3      | 412  
2025 | 2471177-41  | REQ 2042/2025                                          | 104 | 307 | 1      | 412  
2025 | 2519886-26  | PAR 1/2025 => MPV 1301/2025                            | 84  | 325 | 2      | 411  
2025 | 2471177-117 | REQ 2042/2025                                          | 298 | 112 | 1      | 411  
2025 | 2270800-121 | REQ 271/2021                                           | 144 | 266 | 1      | 411  
2025 | 2233324-106 | REQ 1625/2022                                          | 233 | 174 | 4      | 411  
2025 | 545304-134  | RPD 1 => PL 3899/2012                                  | 275 | 133 | 2      | 410  
2025 | 2583550-7   | (sem proposicao vinculada)                             | 323 | 86  | 1      | 410  
2025 | 2519886-34  | PAR 1/2025 => MPV 1301/2025                            | 403 | 6   | 1      | 410  
2025 | 2438467-47  | REQ 2263/2024                                          | 273 | 136 | 1      | 410  
2025 | 2579832-96  | REQ 4666/2025                                          | 298 | 109 | 2      | 409  
2025 | 2519886-53  | PAR 1/2025 => MPV 1301/2025                            | 132 | 275 | 2      | 409  
2025 | 2471177-53  | REQ 2042/2025                                          | 101 | 307 | 1      | 409  
2025 | 2463814-44  | RPD 1 => MPV 1268/2024                                 | 316 | 88  | 5      | 409  
2025 | 2386051-84  | REQ 3108/2023                                          | 114 | 294 | 1      | 409  
2025 | 2579832-99  | REQ 4666/2025                                          | 107 | 298 | 3      | 408  
2025 | 2558692-10  | REQ 3764/2025                                          | 369 | 38  | 1      | 408  
2025 | 2525122-81  | RPD 1 => REP 2/2025                                    | 227 | 170 | 11     | 408  
2025 | 2484059-7   | (sem proposicao vinculada)                             | 266 | 140 | 2      | 408  
2025 | 2466108-33  | REQ 517/2025                                           | 269 | 136 | 3      | 408  
2025 | 2279186-107 | REQ 860/2021                                           | 143 | 263 | 2      | 408  
2025 | 146708-38   | (sem proposicao vinculada)                             | 397 | 9   | 2      | 408  
2025 | 2541109-34  | REQ 3288/2025                                          | 147 | 259 | 1      | 407  
2025 | 264726-157  | REQ 3515/2015 => PL 4149/2004                          | 249 | 154 | 3      | 406  
2025 | 2481257-37  | RPD 1 => PDL 725/2024                                  | 397 | 5   | 4      | 406  
2025 | 2162802-89  | REQ 2355/2023                                          | 297 | 107 | 2      | 406  
2025 | 2466108-28  | REQ 517/2025                                           | 138 | 266 | 1      | 405  
2025 | 2370495-50  | REQ 2111/2023                                          | 110 | 294 | 1      | 405  
2025 | 2306513-116 | REQ 1213/2023                                          | 285 | 116 | 4      | 405  
