ano_dados;id_votacao;sigla_bancada;orientacao;sigla_orgao;descricao
2023;2076754-124;GOVERNO;Nao;CPASF;"Aprovado o Parecer com o seguinte resultado: 9 votos ""Sim"", 3 votos ""Não"". Quórum de votação: 12 votos."
2023;2076754-124;FDRPT-PCDOB-PV;Nao;CPASF;"Aprovado o Parecer com o seguinte resultado: 9 votos ""Sim"", 3 votos ""Não"". Quórum de votação: 12 votos."
2023;2076754-124;PL;Sim;CPASF;"Aprovado o Parecer com o seguinte resultado: 9 votos ""Sim"", 3 votos ""Não"". Quórum de votação: 12 votos."
2023;2076754-124;MAIORIA;Nao;CPASF;"Aprovado o Parecer com o seguinte resultado: 9 votos ""Sim"", 3 votos ""Não"". Quórum de votação: 12 votos."
2023;2415841-7;BLUNIPPFDRPSDBCID...;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2415841-7;MINORIA;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2415841-7;NOVO;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2415841-7;PL;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2415841-7;FDRPSOL-REDE;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2415841-7;GOVERNO;;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2415841-7;FDRPT-PCDOB-PV;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2415841-7;OPOSICAO;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2415841-7;MAIORIA;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2415841-7;BLMDBPSDREPPODE;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 370; não: 3; abstenção: 3 ; total: 376."
2023;2395883-58;BLMDBPSDREPPODE;Sim;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-58;NOVO;Sim;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-58;PL;Sim;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-58;GOVERNO;;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-58;BLUNIPPFDRPSDBCID...;Sim;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-58;MINORIA;Sim;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-58;FDRPSOL-REDE;Nao;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-58;OPOSICAO;Sim;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-58;MAIORIA;;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-58;FDRPT-PCDOB-PV;Nao;PLEN;"Mantido o texto. Sim: 288; não: 114; total: 402."
2023;2395883-53;BLUNIPPFDRPSDBCID...;Sim;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2395883-53;OPOSICAO;Sim;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2395883-53;MINORIA;Sim;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2395883-53;MAIORIA;Sim;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2395883-53;PL;Sim;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2395883-53;GOVERNO;Sim;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2395883-53;FDRPT-PCDOB-PV;Nao;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2395883-53;NOVO;Sim;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2395883-53;BLMDBPSDREPPODE;Sim;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2395883-53;FDRPSOL-REDE;Nao;PLEN;"Aprovado o Substitutivo ao Projeto de Lei nº 4.994, de 2023, adotado pelo relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável, ressalvados os destaques. Sim: 311; não: 103; abstenção: 1; total: 415."
2023;2400068-23;BLMDBPSDREPPODE;Liberado;PLEN;"Rejeitado o Recurso nº 33/2023, contra a apreciação conclusiva das comissões sobre o Projeto de Lei nº 3.905, de 2021. Sim: 171; não: 262; total: 433."
2023;2400068-23;GOVERNO;Nao;PLEN;"Rejeitado o Recurso nº 33/2023, contra a apreciação conclusiva das comissões sobre o Projeto de Lei nº 3.905, de 2021. Sim: 171; não: 262; total: 433."
2023;2400068-23;NOVO;Sim;PLEN;"Rejeitado o Recurso nº 33/2023, contra a apreciação conclusiva das comissões sobre o Projeto de Lei nº 3.905, de 2021. Sim: 171; não: 262; total: 433."
2023;2400068-23;FDRPSOL-REDE;Nao;PLEN;"Rejeitado o Recurso nº 33/2023, contra a apreciação conclusiva das comissões sobre o Projeto de Lei nº 3.905, de 2021. Sim: 171; não: 262; total: 433."
2023;2400068-23;PL;Sim;PLEN;"Rejeitado o Recurso nº 33/2023, contra a apreciação conclusiva das comissões sobre o Projeto de Lei nº 3.905, de 2021. Sim: 171; não: 262; total: 433."
2023;2400068-23;OPOSICAO;Sim;PLEN;"Rejeitado o Recurso nº 33/2023, contra a apreciação conclusiva das comissões sobre o Projeto de Lei nº 3.905, de 2021. Sim: 171; não: 262; total: 433."
