Q9 - Vies ideologico dos deputados (direita / esquerda / centro)

Q9.1 - Catalogo de partidos por ideologia
 ideologia |                                  partidos                                  | qtd_partidos 
-----------+----------------------------------------------------------------------------+--------------
 centro    | AVANTE, CIDADANIA, MDB, MISSAO, PODE, PRD, PSD, PSDB, SOLIDARIEDADE, UNIAO |           10
 direita   | NOVO, PL, PP, REPUBLICANOS                                                 |            4
 esquerda  | PCDOB, PDT, PSB, PSOL, PT, PV, REDE                                        |            7
(3 rows)


Q9.1 - Lista completa partidos x ideologia
 sigla_partido | ideologia 
---------------+-----------
 AVANTE        | centro
 CIDADANIA     | centro
 MDB           | centro
 MISSAO        | centro
 PODE          | centro
 PRD           | centro
 PSD           | centro
 PSDB          | centro
 SOLIDARIEDADE | centro
 UNIAO         | centro
 NOVO          | direita
 PL            | direita
 PP            | direita
 REPUBLICANOS  | direita
 PCDOB         | esquerda
 PDT           | esquerda
 PSB           | esquerda
 PSOL          | esquerda
 PT            | esquerda
 PV            | esquerda
 REDE          | esquerda
(21 rows)


Q9.2 - Correlacao ideologia x proposicao (pct de Sim por campo)
 ano_dados | id_votacao  |                        titulo_proposicao                         | ideologia | votos_sim | votos_nao | outros | total_votos | pct_sim 
      2023 | 2146350-85  | PRL 1 CCJC => PL 8168/2017                                       | direita   |         6 |         5 |      0 |          11 |    54.5
      2023 | 2146350-85  | PRL 1 CCJC => PL 8168/2017                                       | esquerda  |         0 |        13 |      0 |          13 |     0.0
      2023 | 2149303-50  | RPD 1 => PDC 745/2017                                            | centro    |       116 |        29 |      2 |         147 |    78.9
      2023 | 2149303-50  | RPD 1 => PDC 745/2017                                            | direita   |        92 |        68 |      1 |         161 |    57.1
      2023 | 2149303-50  | RPD 1 => PDC 745/2017                                            | esquerda  |       112 |         0 |      1 |         113 |    99.1
      2023 | 2160441-100 | PRL 1 CCJC => PL 9025/2017                                       | centro    |         9 |         3 |      0 |          12 |    75.0
      2023 | 2160441-100 | PRL 1 CCJC => PL 9025/2017                                       | direita   |         8 |         9 |      0 |          17 |    47.1
      2023 | 2160441-100 | PRL 1 CCJC => PL 9025/2017                                       | esquerda  |        15 |         0 |      0 |          15 |   100.0
      2023 | 2160441-82  | PRL 1 CCJC => PL 9025/2017                                       | centro    |         3 |         7 |      0 |          10 |    30.0
      2023 | 2160441-82  | PRL 1 CCJC => PL 9025/2017                                       | direita   |        15 |         7 |      0 |          22 |    68.2
      2023 | 2160441-82  | PRL 1 CCJC => PL 9025/2017                                       | esquerda  |         0 |        15 |      0 |          15 |     0.0
      2023 | 2160441-90  | PRL 1 CCJC => PL 9025/2017                                       | centro    |         3 |         7 |      0 |          10 |    30.0
      2023 | 2160441-90  | PRL 1 CCJC => PL 9025/2017                                       | direita   |         3 |         8 |      0 |          11 |    27.3
      2023 | 2160441-90  | PRL 1 CCJC => PL 9025/2017                                       | esquerda  |         0 |        15 |      0 |          15 |     0.0
      2023 | 2164345-72  | PRL 1 CPASF => PL 9250/2017                                      | centro    |         4 |         0 |      0 |           4 |   100.0
      2023 | 2164345-72  | PRL 1 CPASF => PL 9250/2017                                      | direita   |         6 |         0 |      0 |           6 |   100.0
      2023 | 2164345-72  | PRL 1 CPASF => PL 9250/2017                                      | esquerda  |         1 |         0 |      0 |           1 |   100.0
      2023 | 2166878-66  | PRL 1 CSPCCO => PL 9433/2017                                     | centro    |        12 |         0 |      0 |          12 |   100.0
      2023 | 2166878-66  | PRL 1 CSPCCO => PL 9433/2017                                     | direita   |        16 |         0 |      0 |          16 |   100.0
      2023 | 2166878-66  | PRL 1 CSPCCO => PL 9433/2017                                     | esquerda  |         0 |         1 |      0 |           1 |     0.0
      2023 | 2168250-55  | PRL 1 CCJC => PL 9602/2018                                       | centro    |         5 |         6 |      0 |          11 |    45.5
      2023 | 2168250-55  | PRL 1 CCJC => PL 9602/2018                                       | direita   |         5 |         8 |      0 |          13 |    38.5
      2023 | 2168250-55  | PRL 1 CCJC => PL 9602/2018                                       | esquerda  |         0 |        11 |      0 |          11 |     0.0
      2023 | 2187635-29  | PRL 1 CE => PDC 1094/2018                                        | centro    |         1 |         4 |      0 |           5 |    20.0
      2023 | 2187635-29  | PRL 1 CE => PDC 1094/2018                                        | direita   |         0 |        12 |      0 |          12 |     0.0
      2023 | 2187635-29  | PRL 1 CE => PDC 1094/2018                                        | esquerda  |        11 |         0 |      0 |          11 |   100.0
      2023 | 2190084-79  | REQ 704/2021                                                     | centro    |       149 |         2 |      0 |         151 |    98.7
      2023 | 2190084-79  | REQ 704/2021                                                     | direita   |       159 |         2 |      1 |         162 |    98.1
      2023 | 2190084-79  | REQ 704/2021                                                     | esquerda  |        90 |        12 |      0 |         102 |    88.2
      2023 | 2190084-88  | REQ 704/2021                                                     | centro    |       147 |         6 |      0 |         153 |    96.1
      2023 | 2190084-88  | REQ 704/2021                                                     | direita   |       164 |         1 |      1 |         166 |    98.8
      2023 | 2190084-88  | REQ 704/2021                                                     | esquerda  |        72 |        31 |      0 |         103 |    69.9
      2023 | 2190084-93  | REQ 704/2021                                                     | centro    |       109 |        41 |      0 |         150 |    72.7
      2023 | 2190084-93  | REQ 704/2021                                                     | direita   |       134 |        23 |      2 |         159 |    84.3
      2023 | 2190084-93  | REQ 704/2021                                                     | esquerda  |         5 |        96 |      0 |         101 |     5.0
      2023 | 2190707-68  | PRL 1 CCJC => PL 196/2019                                        | centro    |         0 |        12 |      0 |          12 |     0.0
      2023 | 2190707-68  | PRL 1 CCJC => PL 196/2019                                        | direita   |         0 |         8 |      0 |           8 |     0.0
      2023 | 2190707-68  | PRL 1 CCJC => PL 196/2019                                        | esquerda  |         0 |        15 |      0 |          15 |     0.0
      2023 | 2190822-75  | PRL 1 CCJC => PL 267/2019                                        | centro    |         4 |         7 |      0 |          11 |    36.4
      2023 | 2190822-75  | PRL 1 CCJC => PL 267/2019                                        | direita   |        13 |         7 |      0 |          20 |    65.0
      2023 | 2190822-75  | PRL 1 CCJC => PL 267/2019                                        | esquerda  |         0 |        11 |      0 |          11 |     0.0
      2023 | 2190822-86  | PRL 1 CCJC => PL 267/2019                                        | centro    |         1 |        15 |      0 |          16 |     6.3
      2023 | 2190822-86  | PRL 1 CCJC => PL 267/2019                                        | direita   |        12 |         7 |      0 |          19 |    63.2
      2023 | 2190822-86  | PRL 1 CCJC => PL 267/2019                                        | esquerda  |         0 |        13 |      0 |          13 |     0.0
      2023 | 2190822-89  | PRL 1 CCJC => PL 267/2019                                        | centro    |        15 |         1 |      0 |          16 |    93.8
      2023 | 2190822-89  | PRL 1 CCJC => PL 267/2019                                        | direita   |         7 |        13 |      0 |          20 |    35.0
