 ano_dados | id_deputado |                        nome                         |         eixo_maior          | votos_sim | votos_nao | abstencoes | votos_total 
      2026 |      204528 | ADRIANA MIGUEL VENTURA                              | Infraestrutura e tecnologia |         1 |         2 |          0 |           3
      2023 |      204528 | ADRIANA MIGUEL VENTURA                              | Institucional e juridico    |        27 |        28 |          0 |          64
      2024 |      204528 | ADRIANA MIGUEL VENTURA                              | Institucional e juridico    |        36 |        26 |          0 |          68
      2025 |      204528 | ADRIANA MIGUEL VENTURA                              | Institucional e juridico    |        69 |        75 |          0 |         155
      2026 |      204528 | ADRIANA MIGUEL VENTURA                              | Institucional e juridico    |        25 |        13 |          0 |          38
      2023 |      204528 | ADRIANA MIGUEL VENTURA                              | Internacional               |         7 |         1 |          0 |           8
      2024 |      204528 | ADRIANA MIGUEL VENTURA                              | Internacional               |         5 |         0 |          0 |           5
      2025 |      204528 | ADRIANA MIGUEL VENTURA                              | Internacional               |         6 |         2 |          0 |          15
      2026 |      204528 | ADRIANA MIGUEL VENTURA                              | Internacional               |         1 |         2 |          0 |           3
      2023 |      204528 | ADRIANA MIGUEL VENTURA                              | Seguranca                   |         1 |         6 |          0 |           8
      2024 |      204528 | ADRIANA MIGUEL VENTURA                              | Seguranca                   |        21 |        11 |          0 |          34
      2025 |      204528 | ADRIANA MIGUEL VENTURA                              | Seguranca                   |        21 |        17 |          0 |          41
      2026 |      204528 | ADRIANA MIGUEL VENTURA                              | Seguranca                   |        14 |         4 |          0 |          20
      2023 |      204528 | ADRIANA MIGUEL VENTURA                              | Social                      |        18 |        20 |          0 |          51
      2024 |      204528 | ADRIANA MIGUEL VENTURA                              | Social                      |        23 |        10 |          0 |          43
      2025 |      204528 | ADRIANA MIGUEL VENTURA                              | Social                      |        55 |        65 |          0 |         129
      2026 |      204528 | ADRIANA MIGUEL VENTURA                              | Social                      |        14 |        14 |          0 |          28
      2023 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Ambiental e energetico      |         6 |        10 |          0 |          16
      2024 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Ambiental e energetico      |         7 |        11 |          0 |          18
      2025 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Ambiental e energetico      |        22 |        15 |          0 |          37
