Q5 complemento - top 5 fornecedores por categoria de gasto e por ano (57a leg.)
 ano_dados | posicao |                         categoria                         |                                             fornecedor                                             | qtd_lancamentos | total_pago  
      2024 |       2 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | EDENILTON LIMA PEREIRA                                                                             |              10 |    39000.00
      2024 |       3 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | R M DA CRUZ                                                                                        |               1 |      650.00
      2024 |       1 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | PANTANAL VEÍCULOS LTDA                                                                             |             757 |  3288908.71
      2024 |       2 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | SUPREMA MOBILIDADE LTDA                                                                            |             289 |  1607302.80
      2024 |       3 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | Novacar Locadora de Veículos Ltda                                                                  |             283 |  1444596.04
      2024 |       4 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | HPE AUTOMOTORES DO BRASIL LTDA                                                                     |             141 |  1235364.88
      2024 |       5 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | VIA LOCADORA DE AUTOMOVEIS LTDA                                                                    |             179 |   934793.00
      2024 |       1 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | AMORETTO CAFES EXPRESSO LTDA                                                                       |             514 |   368274.54
      2024 |       2 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | BROAD BRASIL LTDA                                                                                  |             343 |   306550.00
      2024 |       3 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA                                                          |             431 |   266783.20
      2024 |       4 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | TELEMAXIMO SISTEMAS CONSULTORIA E SERVIÇOS LTDA - ME                                               |              21 |   259648.90
      2024 |       5 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | N P IMOVEIS LTDA                                                                                   |              89 |   254178.97
      2024 |       1 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | CRIATIVA MAIS DIGITAL MARKENTING LTDA                                                              |               2 |    14000.00
      2024 |       2 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | EU POSSO COMERCIO DE LIVROS E APOSTILAS                                                            |               1 |     9145.61
      2024 |       2 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | INSTITUTE OF POLITICAL STUDIES                                                                     |               1 |     9145.61
      2024 |       2 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | STIER: MEDICINA INTERNA, CARDIOLOGIA E FONOAUDIOLOGIA S/S LTDA - EPP                               |               1 |     9145.61
      2024 |       5 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | Navona Comunicação e Marketing LTDA                                                                |               1 |     8500.00
      2024 |       1 | PASSAGEM AÉREA - REEMBOLSO                                | Latam Linhas Aéreas S.A                                                                            |             123 |   327185.36
      2024 |       2 | PASSAGEM AÉREA - REEMBOLSO                                | Gol Linhas Aereas S.A.                                                                             |              71 |   146934.67
      2024 |       3 | PASSAGEM AÉREA - REEMBOLSO                                | A&T Turismo Ltda.                                                                                  |               4 |    55849.22
      2024 |       4 | PASSAGEM AÉREA - REEMBOLSO                                | AZUL LINHAS AÉREAS BRASILEIRAS S.A.                                                                |              19 |    47358.92
      2024 |       5 | PASSAGEM AÉREA - REEMBOLSO                                | Azul Linhas Aéreas Inteligentes S.A                                                                |              19 |    44818.25
      2024 |       1 | PASSAGEM AÉREA - RPA                                      | Cia Aérea - TAM                                                                                    |             382 |   637378.16
      2024 |       2 | PASSAGEM AÉREA - RPA                                      | Cia Aérea - AZUL                                                                                   |             255 |   229463.21
      2024 |       3 | PASSAGEM AÉREA - RPA                                      | Cia Aérea - GOL                                                                                    |             152 |   215110.35
      2024 |       1 | PASSAGEM AÉREA - SIGEPA                                   | TAM                                                                                                |           29953 | 32091040.47
      2024 |       2 | PASSAGEM AÉREA - SIGEPA                                   | GOL                                                                                                |            8477 | 11101588.05
      2024 |       3 | PASSAGEM AÉREA - SIGEPA                                   | AZUL                                                                                               |            8215 |  8732830.76
      2024 |       4 | PASSAGEM AÉREA - SIGEPA                                   | MAP                                                                                                |               7 |     8985.50
      2024 |       1 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | EMPRESA GONTIJO DE TRANSPORTES LIMITADA                                                            |              78 |    20973.18
      2024 |       2 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | INTERNACIONAL TRAVESSIAS SALVADOR S.A                                                              |             125 |    13712.28
      2024 |       3 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | Planalto Transportes ltda                                                                          |              60 |    11407.70
      2024 |       4 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | VIACAO OURO E PRATA S A                                                                            |              32 |     9020.74
      2024 |       5 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | AUTO VIAÇÃO 1001 LTDA                                                                              |              43 |     3780.69
      2024 |       1 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SERVFAZ SERVIÇOS DE SEGURANÇA LTDA                                                                 |              24 |   208800.00
      2024 |       2 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | BRASAO VIGILANCIA E SEGURANCA LTDA                                                                 |              11 |    95700.00
      2024 |       3 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | Saturno limpeza e conservação a edifícios -LTDA                                                    |              12 |    94500.00
      2024 |       4 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | A4 VIGILANCIA E SEGURANCA PATRIMONIAL EIRELI - EPP                                                 |              11 |    93499.56
      2024 |       5 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | Triângullo Services Limp. Conser. E Segurança Privada                                              |              11 |    92367.00
      2024 |       1 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | UBER DO BRASIL TECNOLOGIA LTDA.                                                                    |           11157 |   331902.54
      2024 |       2 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA.                                                           |             556 |   301700.84
      2024 |       3 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | TÁXI LEGAL                                                                                         |            1814 |   104463.09
      2024 |       4 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA                                                            |             167 |    73806.64
      2024 |       5 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | 99 POP                                                                                             |             678 |    15846.77
      2024 |       1 | TELEFONIA                                                 | CELULAR FUNCIONAL                                                                                  |            3574 |   833962.00
      2024 |       2 | TELEFONIA                                                 | VIVO TELEFONIA BRASIL S/A                                                                          |             749 |   376590.26
