Q8 complemento - ranking completo de influencia legislativa global
Tabela principal - ranking completo de influencia legislativa global
id_deputado |                                nome | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas
     220708 |                       Gabriel Nunes |                  59 |                     1 |          0.25
     204365 |                      Gilson Marques |                3366 |                     1 |          0.25
     220531 |                       Gilvan Maximo |                 419 |                     1 |          0.25
     220568 |                       Gustavo Gayer |                 739 |                     1 |          0.25
     204408 |                    Gustinho Ribeiro |                 113 |                     1 |          0.25
     220537 |                         Helena Lima |                 150 |                     1 |          0.25
     220672 |                     Henderson Pinto |                 236 |                     1 |          0.25
     141450 |                           Hugo Leal |                 266 |                     1 |          0.25
     220563 |                     Icaro de Valmir |                 389 |                     1 |          0.25
      98615 |                              Ismael |                 154 |                     1 |          0.25
     204436 |                 Isnaldo Bulhões Jr. |                 247 |                     1 |          0.25
     220696 |                    Ivoneide Caetano |                 105 |                     1 |          0.25
      74848 |                     Jandira Feghali |                 273 |                     1 |          0.25
      74273 |                    Jefferson Campos |                 203 |                     1 |          0.25
     178857 |                         Jorge Solla |                 612 |                     1 |          0.25
     141464 |            José Airton Félix Cirilo |                 123 |                     1 |          0.25
     141470 |                      José Guimarães |                 349 |                     1 |          0.25
      74079 |                        José Priante |                  96 |                     1 |          0.25
     141458 |                 João Carlos Bacelar |                 279 |                     1 |          0.25
     178970 |                         João Daniel |                 454 |                     1 |          0.25
     141459 |                           João Maia |                  67 |                     1 |          0.25
     204474 |                        Juarez Costa |                 114 |                     1 |          0.25
     220640 |                     Juliana Cardoso |                 341 |                     1 |          0.25
      66385 |                     Julio Arcoverde |                 117 |                     1 |          0.25
     204520 |                        Junio Amaral |                 652 |                     1 |          0.25
      74317 |                         Júlio Cesar |                 163 |                     1 |          0.25
     204497 |                      Júnior Ferrari |                 258 |                     1 |          0.25
      98057 |                Lafayette de Andrada |                 540 |                     1 |          0.25
     178832 |                             Leandre |                   9 |                     1 |          0.25
      74156 |                   Leonardo Monteiro |                 418 |                     1 |          0.25
      74585 |                     Lincoln Portela |                 333 |                     1 |          0.25
     103758 |                     Luciano Azevedo |                  38 |                     1 |          0.25
      74478 |                       Luciano Bivar |                 843 |                     1 |          0.25
     178931 |                       Luciano Ducci |                 265 |                     1 |          0.25
     178954 |                      Lucio Mosquini |                 438 |                     1 |          0.25
     204485 |                   Luiz Carlos Motta |                 159 |                     1 |          0.25
     141487 |                 Luiz Fernando Faria |                 168 |                     1 |          0.25
     220658 |                         Luiz Gastão |                 275 |                     1 |          0.25
     204455 |                           Luiz Lima |                 490 |                     1 |          0.25
      74784 |                      Luiza Erundina |                 220 |                     1 |          0.25
     178866 |                      Luizianne Lins |                 251 |                     1 |          0.25
     220669 |                       Lula da Fonte |                 179 |                     1 |          0.25
     166402 |                       Magda Mofatto |                 115 |                     1 |          0.25
     133810 |                      Marcelo Moraes |                 104 |                     1 |          0.25
     160161 |                     Marcelo Queiroz |                 487 |                     1 |          0.25
     179000 |              Marcelo Álvaro Antônio |                 300 |                     1 |          0.25
     204522 |                    Marco Bertaiolli |                 294 |                     1 |          0.25
     204431 |              Marcos Aurélio Sampaio |                  24 |                     1 |          0.25
     204506 |                      Marcos Pereira |                3119 |                     1 |          0.25
     220547 |                       Marcos Pollon |                 879 |                     1 |          0.25
     204540 |                         Maria Rosas |                 334 |                     1 |          0.25
      74398 |                    Maria do Rosário |                 493 |                     1 |          0.25
     204566 |                       Marreca Filho |                 293 |                     1 |          0.25
     220572 |                     Marussa Boldrin |                 273 |                     1 |          0.25
     220661 |                     Matheus Noronha |                  78 |                     1 |          0.25
     220550 |                     Mauricio Marcon |                 547 |                     1 |          0.25
     220647 |                      Mauricio Neves |                 285 |                     1 |          0.25
     220628 |                   Mauricio do Vôlei |                 217 |                     1 |          0.25
